signatur,start,end
DepHarr_H108,1721-01-01,1721
DepHarr_H106,1719-01-01,1719
DepHarr_H102,1717-09-18,1717
DepHarr_H121,1729-12-20,1730
DepHarr_H133,1736-01-01,1736
DepHarr_H138,1738-01-01,1740
DepHarr_H113,1724-01-01,1724
DepHarr_H117,1728-01-01,1728
DepHarr_H090,1706-01-01,1706
DepHarr_H096,1709-04-16,1711
DepHarr_H115,1725-01-01,1725
DepHarr_H120,1729-01-01,1729
DepHarr_H132,1735-01-01,1735
DepHarr_H104,1718-01-01,1718
DepHarr_H136,1736-12-31,1737
DepHarr_H128,1733-01-01,1738
DepHarr_H139,1734-06-14,1740
DepHarr_H124,1731-01-01,1731
DepHarr_H095,1710-01-01,1711
DepHarr_H103,1717-01-01,1719
DepHarr_H026,1652-01-01,1652
DepHarr_H094,1709-01-01,1710
DepHarr_H116,1727-01-01,1727
DepHarr_H097,1711-04-11,1713
DepHarr_H100,1716-01-01,1716
DepHarr_H130,1734-01-01,1734
DepHarr_H142,1740-01-01,1740
